"宛先","利用日","利用店名","利用金額","摘要"
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","ご利用日","ご利用店名","ご利用金額(円)","摘要"
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","1234-5678-9012-3456","メンバーカード",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","椎名町店","1,234","レンタカー"
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","目白店","5,500","レンタネコ"
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","池袋店","1,960","レンタ彼女"
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","","",""
"〒100-0005東京都千代田区丸の内1丁目8-2株式会社コミュカルご担当様","","お支払い合計","8,694",""
